2024-04-02 18:36:13 startup archives unpack
2024-04-02 18:36:13 install python3-colorama:all <none> 0.4.6-4
2024-04-02 18:36:13 status half-installed python3-colorama:all 0.4.6-4
2024-04-02 18:36:13 status unpacked python3-colorama:all 0.4.6-4
2024-04-02 18:36:13 install python3-click:all <none> 8.1.6-1
2024-04-02 18:36:13 status half-installed python3-click:all 8.1.6-1
2024-04-02 18:36:13 status unpacked python3-click:all 8.1.6-1
2024-04-02 18:36:13 install python3-h11:all <none> 0.14.0-1
2024-04-02 18:36:13 status half-installed python3-h11:all 0.14.0-1
2024-04-02 18:36:13 status unpacked python3-h11:all 0.14.0-1
2024-04-02 18:36:13 install python3-wsproto:all <none> 1.2.0-1
2024-04-02 18:36:13 status half-installed python3-wsproto:all 1.2.0-1
2024-04-02 18:36:13 status unpacked python3-wsproto:all 1.2.0-1
2024-04-02 18:36:13 install python3-uvloop:amd64 <none> 0.19.0+ds1-2+b1
2024-04-02 18:36:13 status half-installed python3-uvloop:amd64 0.19.0+ds1-2+b1
2024-04-02 18:36:14 status unpacked python3-uvloop:amd64 0.19.0+ds1-2+b1
2024-04-02 18:36:14 install python3-uvicorn:all <none> 0.28.0-1
2024-04-02 18:36:14 status half-installed python3-uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status unpacked python3-uvicorn:all 0.28.0-1
2024-04-02 18:36:14 install uvicorn:all <none> 0.28.0-1
2024-04-02 18:36:14 status half-installed uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status unpacked uvicorn:all 0.28.0-1
2024-04-02 18:36:14 startup packages configure
2024-04-02 18:36:14 configure python3-colorama:all 0.4.6-4 <none>
2024-04-02 18:36:14 status unpacked python3-colorama:all 0.4.6-4
2024-04-02 18:36:14 status half-configured python3-colorama:all 0.4.6-4
2024-04-02 18:36:14 status installed python3-colorama:all 0.4.6-4
2024-04-02 18:36:14 configure python3-click:all 8.1.6-1 <none>
2024-04-02 18:36:14 status unpacked python3-click:all 8.1.6-1
2024-04-02 18:36:14 status half-configured python3-click:all 8.1.6-1
2024-04-02 18:36:14 status installed python3-click:all 8.1.6-1
2024-04-02 18:36:14 configure python3-h11:all 0.14.0-1 <none>
2024-04-02 18:36:14 status unpacked python3-h11:all 0.14.0-1
2024-04-02 18:36:14 status half-configured python3-h11:all 0.14.0-1
2024-04-02 18:36:14 status installed python3-h11:all 0.14.0-1
2024-04-02 18:36:14 configure python3-uvloop:amd64 0.19.0+ds1-2+b1 <none>
2024-04-02 18:36:14 status unpacked python3-uvloop:amd64 0.19.0+ds1-2+b1
2024-04-02 18:36:14 status half-configured python3-uvloop:amd64 0.19.0+ds1-2+b1
2024-04-02 18:36:14 status installed python3-uvloop:amd64 0.19.0+ds1-2+b1
2024-04-02 18:36:14 configure python3-wsproto:all 1.2.0-1 <none>
2024-04-02 18:36:14 status unpacked python3-wsproto:all 1.2.0-1
2024-04-02 18:36:14 status half-configured python3-wsproto:all 1.2.0-1
2024-04-02 18:36:14 status installed python3-wsproto:all 1.2.0-1
2024-04-02 18:36:14 configure python3-uvicorn:all 0.28.0-1 <none>
2024-04-02 18:36:14 status unpacked python3-uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status half-configured python3-uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status installed python3-uvicorn:all 0.28.0-1
2024-04-02 18:36:14 configure uvicorn:all 0.28.0-1 <none>
2024-04-02 18:36:14 status unpacked uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status half-configured uvicorn:all 0.28.0-1
2024-04-02 18:36:14 status installed uvicorn:all 0.28.0-1
2024-04-02 18:42:19 startup archives unpack
2024-04-02 18:42:19 install pythonpy:all <none> 0.4.11b-3.1
2024-04-02 18:42:19 status half-installed pythonpy:all 0.4.11b-3.1
2024-04-02 18:42:19 status unpacked pythonpy:all 0.4.11b-3.1
2024-04-02 18:42:19 startup packages configure
